1;2533.00;10.35;2063.00;small
1;2561.00;10.20;2078.00;small
2;2527.00;10.40;2111.00;small
2;2510.00;10.57;2080.00;small
3;2506.00;10.45;2146.00;small
3;2502.00;11.10;2175.00;small
4;2434.00;10.25;2090.00;small
4;2460.00;10.30;2115.00;small
5;2637.00;10.12;2082.00;small
5;2627.00;10.25;2054.00;small
6;2683.00;10.30;2078.00;big
6;2705.00;10.25;2139.00;small
7;2693.00;10.53;2020.00;small
7;2730.00;10.75;2013.00;small
8;2941.00;10.40;2052.00;big
8;3002.00;10.30;2057.00;big
9;2825.00;10.20;2185.00;small
9;2862.00;9.50;2234.00;big
10;2793.00;10.20;2216.00;small
10;2757.00;10.43;2182.00;big
11;2707.00;11.12;2258.00;big
11;2662.00;11.45;2237.00;big
12;3010.00;10.38;2390.00;big
12;3081.00;10.48;2381.00;big
12;2940.00;10.35;2380.00;big
13;2965.00;10.30;2283.00;big
13;2898.00;9.70;2266.00;big
14;3421.00;10.48;2156.00;small
14;3446.00;10.20;2286.00;big
14;3421.00;10.30;2229.00;big
15;3141.00;10.32;2073.00;big
15;3182.00;10.28;2014.00;big
15;3203.00;10.48;2084.00;small
16;2569.00;9.50;2153.00;big
16;2541.00;9.50;2236.00;big
17;3198.00;11.20;1363.00;small
17;3118.00;12.43;1446.00;small
17;3141.00;10.62;1295.00;big
17;3087.00;12.32;1371.00;big
18;2510.00;9.50;2032.00;small
18;2586.00;9.50;2065.00;small
19;2573.00;10.30;1982.00;big
19;2540.00;10.20;2002.00;big
20;2614.00;11.35;1934.00;big
20;2567.00;10.25;1933.00;big
21;2667.00;10.62;1949.00;small
21;2706.00;12.03;1969.00;small
21;2763.00;10.90;1977.00;small
22;2773.00;10.90;2027.00;small
22;2815.00;10.40;2007.00;small
23;2713.00;10.43;1927.00;small
23;2745.00;12.10;1902.00;small
24;2795.00;11.38;1940.00;small
24;2850.00;12.03;1908.00;small
25;2870.00;11.05;1859.00;small
25;2881.00;10.75;1823.00;small
25;2933.00;10.32;1880.00;small
26;2953.00;10.38;1964.00;small
26;2905.00;11.07;1910.00;small
27;2894.00;10.73;1978.00;small
27;2839.00;10.30;1974.00;small
28;3091.00;10.50;1787.00;big
28;3068.00;10.45;1745.00;big
28;3054.00;10.55;1716.00;small
29;2847.00;9.50;1782.00;big
29;2763.00;9.70;1792.00;big
30;2973.00;9.50;1912.00;big
30;3063.00;9.50;1919.00;big
31;3716.00;10.18;1503.00;big
31;3677.00;10.30;1420.00;big
32;1122.00;9.50;847.00;big
32;952.00;9.50;576.00;big
33;484.00;11.50;2293.00;big
33;296.00;10.48;2222.00;small
33;649.00;10.23;2197.00;small
33;318.00;10.75;2353.00;small
34;1331.00;9.57;1437.00;small
34;1423.00;10.05;1390.00;small
35;1611.00;12.45;859.00;small
35;1628.00;14.12;910.00;small
35;1659.00;10.40;864.00;small
36;2088.00;11.15;2505.00;big
36;1899.00;10.85;2322.00;big
37;2956.00;9.50;2191.00;big
